TaskLabel,CompetencyRoles,DecimalHours,TaskDescription,gpt-4,gpt-4_reason,gpt-4o,gpt-4o_reason,gpt-3.5-turbo,gpt-3.5-turbo_reason,gpt-3.5-turbo-1106,gpt-3.5-turbo-1106_reason,gpt-4-0613,gpt-4-0613_reason
Coding,Software Engineer,2.0,"ALW-11668

- integrated updateAssessment API, worked on getting the dirty fields.
- send only dirtyfields in case of updateAssessment, disabled input for grade and subject when form is in edit mode.
- verified on local.",fail,No links or references related to the task are provided.,fail,Missing links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,Missing links or references related to the task.
Coding,Software Engineer,2.0,"ALW-11668

- integrated updateAssessment API, worked on getting the dirty fields.
- send only dirtyfields in case of updateAssessment, disabled input for grade and subject when form is in edit mode.
- verified on local.",fail,No links or references related to the task are provided.,fail,Missing links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,Missing links or references related to the task.
Coding,Software Engineer,2.0,"ALW-11668

- integrated updateAssessment API, worked on getting the dirty fields.
- send only dirtyfields in case of updateAssessment, disabled input for grade and subject when form is in edit mode.
- verified on local.",fail,No links or references related to the task are provided.,fail,Missing links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,Missing links or references related to the task.
Coding,Software Engineer,2.0,"ALW-11668

- integrated updateAssessment API, worked on getting the dirty fields.
- send only dirtyfields in case of updateAssessment, disabled input for grade and subject when form is in edit mode.
- verified on local.",fail,No links or references related to the task are provided.,fail,Missing links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,Missing links or references related to the task.
Coding,Software Engineer,2.0,"ALW-11668

- integrated updateAssessment API, worked on getting the dirty fields.
- send only dirtyfields in case of updateAssessment, disabled input for grade and subject when form is in edit mode.
- verified on local.",fail,No links or references related to the task are provided.,fail,Missing links or references related to the task.,pass,Complete description.,pass,Complete description.,fail,Missing links or references related to the task.
Meeting,Software Engineer,0.5,BSKYE-5860: Sync with Aqdas on ISOS status issues and its flow. + Desk check on local.,fail,Description lacks links or references related to the task.,fail,Lacks links or references related to the task.,fail,"Lacks context and details on Sync with Aqdas, ISOS status issues, and flow.",fail,Description lacks context and specific details about the ISOS status issues and its flow.,fail,No links or references related to the task.
Meeting,Software Engineer,0.5,BSKYE-5860: Sync with Aqdas on ISOS status issues and its flow. + Desk check on local.,fail,Description lacks links or references related to the task.,fail,Lacks links or references related to the task.,fail,"Lacks context and details on Sync with Aqdas, ISOS status issues, and flow.",fail,Description lacks context and specific details about the ISOS status issues and its flow.,fail,No links or references related to the task.
Meeting,Software Engineer,0.5,BSKYE-5860: Sync with Aqdas on ISOS status issues and its flow. + Desk check on local.,fail,Description lacks links or references related to the task.,fail,Lacks links or references related to the task.,fail,"Lacks context and details on Sync with Aqdas, ISOS status issues, and flow.",fail,Description lacks context and specific details about the ISOS status issues and its flow.,fail,No links or references related to the task.
Meeting,Software Engineer,0.5,BSKYE-5860: Sync with Aqdas on ISOS status issues and its flow. + Desk check on local.,fail,Description lacks links or references related to the task.,fail,Lacks links or references related to the task.,fail,"Lacks context and details on Sync with Aqdas, ISOS status issues, and flow.",fail,Description lacks context and specific details about the ISOS status issues and its flow.,fail,No links or references related to the task.
Meeting,Software Engineer,0.5,BSKYE-5860: Sync with Aqdas on ISOS status issues and its flow. + Desk check on local.,fail,Description lacks links or references related to the task.,fail,Lacks links or references related to the task.,fail,"Lacks context and details on Sync with Aqdas, ISOS status issues, and flow.",fail,Description lacks context and specific details about the ISOS status issues and its flow.,fail,No links or references related to the task.
